leftX,leftY,rightX,rightY
(0.1273861527442932, 0.46428433060646057),(0.13591180741786957, 0.4252825081348419)
(0.12686485052108765, 0.4773966670036316),(0.1360393464565277, 0.4209713637828827)
(0.12686485052108765, 0.4773966670036316),(0.13230487704277039, 0.42687419056892395)
(0.13189338147640228, 0.48036158084869385),(0.13817016780376434, 0.42675748467445374)
(0.13416098058223724, 0.47910410165786743),(0.1413482427597046, 0.42743659019470215)
(0.13416098058223724, 0.47910410165786743),(0.14170581102371216, 0.4242074191570282)
(0.13385918736457825, 0.47214096784591675),(0.13629089295864105, 0.423298180103302)
(0.13790304958820343, 0.4703825116157532),(0.13083785772323608, 0.4174173176288605)
(0.13790304958820343, 0.4703825116157532),(0.13202977180480957, 0.41068869829177856)
(0.13480061292648315, 0.4707815647125244),(0.13377614319324493, 0.40725448727607727)
(0.13384240865707397, 0.47668659687042236),(0.1335436999797821, 0.40883108973503113)
(0.13384240865707397, 0.47668659687042236),(0.13333818316459656, 0.41802141070365906)
(0.1364978849887848, 0.48911339044570923),(0.13604606688022614, 0.4041520953178406)
(0.13612543046474457, 0.4842211902141571),(0.13982725143432617, 0.40486714243888855)
(0.13612543046474457, 0.4842211902141571),(0.1402471959590912, 0.3958846926689148)
(0.13452477753162384, 0.4615723788738251),(0.13646483421325684, 0.4175569415092468)
(0.13011695444583893, 0.45502769947052),(0.13640855252742767, 0.4197447597980499)
(0.13011695444583893, 0.45502769947052),(0.134015291929245, 0.4225890338420868)
(0.1303740292787552, 0.4616004526615143),(0.1324433982372284, 0.4212021827697754)
(0.13231351971626282, 0.4677691161632538),(0.1328742653131485, 0.4228164851665497)
(0.13231351971626282, 0.4677691161632538),(0.13633158802986145, 0.42804738879203796)
(0.13015536963939667, 0.4747210443019867),(0.13978269696235657, 0.4220385253429413)
(0.13259786367416382, 0.4750022888183594),(0.13962902128696442, 0.42863744497299194)
(0.13259786367416382, 0.4750022888183594),(0.140627920627594, 0.419476717710495)
(0.137137308716774, 0.48359304666519165),(0.1402653455734253, 0.4202254116535187)
(0.13908004760742188, 0.48976001143455505),(0.1417667120695114, 0.41024965047836304)
(0.13908004760742188, 0.48976001143455505),(0.144575834274292, 0.41517171263694763)
(0.13562895357608795, 0.4887269139289856),(0.14790910482406616, 0.42086413502693176)
(0.13132615387439728, 0.47282400727272034),(0.14755316078662872, 0.4242614209651947)
(0.13132615387439728, 0.47282400727272034),(0.14247581362724304, 0.4165651202201843)
(0.1329490691423416, 0.46432772278785706),(0.13664813339710236, 0.4210156202316284)
(0.14054442942142487, 0.4730019271373749),(0.1361764818429947, 0.4149772822856903)
(0.14054442942142487, 0.4730019271373749),(0.1338689625263214, 0.41885435581207275)
(0.1418813019990921, 0.47932061553001404),(0.13381758332252502, 0.40771710872650146)
(0.1370876282453537, 0.4698253870010376),(0.13206948339939117, 0.420000821352005)
(0.1370876282453537, 0.4698253870010376),(0.13461266458034515, 0.4264775812625885)
(0.1368820071220398, 0.4666546881198883),(0.13796435296535492, 0.4333511292934418)
(0.14010821282863617, 0.4657451808452606),(0.1330944299697876, 0.4269799292087555)
(0.14010821282863617, 0.4657451808452606),(0.13147014379501343, 0.42454054951667786)
(0.13694386184215546, 0.4671342670917511),(0.1307237446308136, 0.41863813996315)
(0.1340208500623703, 0.47199496626853943),(0.1346077173948288, 0.42143502831459045)
(0.1340208500623703, 0.47199496626853943),(0.13885071873664856, 0.4217086434364319)
(0.1344061940908432, 0.4692472219467163),(0.13920161128044128, 0.41996055841445923)
(0.16190552711486816, 0.46450361609458923),(0.15776577591896057, 0.41700291633605957)
(0.16190552711486816, 0.46450361609458923),(0.18422475457191467, 0.4168696701526642)
(0.2043287307024002, 0.47356393933296204),(0.21992768347263336, 0.4176335632801056)
(0.2336627095937729, 0.478964626789093),(0.23222585022449493, 0.4202241897583008)
(0.2336627095937729, 0.478964626789093),(0.23169471323490143, 0.4117118716239929)
(0.23168615996837616, 0.4683161675930023),(0.23850880563259125, 0.41636550426483154)
(0.22759674489498138, 0.4662799835205078),(0.23898287117481232, 0.41018983721733093)
(0.22759674489498138, 0.4662799835205078),(0.23602882027626038, 0.4108808934688568)
(0.23066692054271698, 0.46671491861343384),(0.2366466522216797, 0.41478464007377625)
(0.23457005620002747, 0.46357858180999756),(0.2377161830663681, 0.41665253043174744)
(0.23457005620002747, 0.46357858180999756),(0.23837360739707947, 0.4271795153617859)
(0.23182711005210876, 0.4717641770839691),(0.23188844323158264, 0.4178885519504547)
(0.23323404788970947, 0.46232321858406067),(0.23281536996364594, 0.41624101996421814)
(0.23323404788970947, 0.46232321858406067),(0.23668868839740753, 0.407726526260376)
(0.24053075909614563, 0.47711727023124695),(0.23840804398059845, 0.426029235124588)
(0.24236170947551727, 0.49088171124458313),(0.23848186433315277, 0.4284099340438843)
(0.24236170947551727, 0.49088171124458313),(0.24291492998600006, 0.4323694407939911)
(0.23557956516742706, 0.47303125262260437),(0.24482306838035583, 0.4186006188392639)
(0.23067790269851685, 0.4694581627845764),(0.24357594549655914, 0.4166981875896454)
(0.23067790269851685, 0.4694581627845764),(0.24104706943035126, 0.42450839281082153)
(0.22691397368907928, 0.46635711193084717),(0.24301688373088837, 0.4181824326515198)
(0.22864773869514465, 0.4702194631099701),(0.24256321787834167, 0.41920608282089233)
(0.22864773869514465, 0.4702194631099701),(0.23905067145824432, 0.4140237271785736)
(0.24585026502609253, 0.4734736680984497),(0.259540855884552, 0.4023590683937073)
(0.32639726996421814, 0.44040578603744507),(0.27397236227989197, 0.38291361927986145)
(0.32639726996421814, 0.44040578603744507),(0.2995692789554596, 0.35973450541496277)
(0.4903523325920105, 0.45660722255706787),(0.28712376952171326, 0.3373703360557556)
(0.6199960112571716, 0.503786027431488),(nan, nan)
(0.6199960112571716, 0.503786027431488),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(nan, nan),(nan, nan)
(0.06727364659309387, 0.7271511554718018),(nan, nan)
(0.06727364659309387, 0.7271511554718018),(nan, nan)
(0.06727364659309387, 0.7271511554718018),(0.22652767598628998, 0.5631807446479797)
(0.19895489513874054, 0.5381599068641663),(0.23012392222881317, 0.5342993140220642)
(0.19895489513874054, 0.5381599068641663),(0.21986843645572662, 0.5151057839393616)
